Emotion,File_Path
sad,Dataset/RAVDESS_Demo\Actor_01\03-01-04-02-01-02-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-01-04-02-02-01-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-01-04-02-02-02-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-01-05-01-01-01-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-01-05-01-01-02-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-01-05-01-02-01-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-01-05-01-02-02-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-01-05-02-01-01-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-01-05-02-01-02-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-01-05-02-02-01-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-01-05-02-02-02-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-01-06-01-01-01-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-01-06-01-01-02-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-01-06-01-02-01-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-01-06-01-02-02-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-01-06-02-01-01-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-01-06-02-01-02-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-01-06-02-02-01-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-01-06-02-02-02-01.wav
disgust,Dataset/RAVDESS_Demo\Actor_01\03-01-07-01-01-01-01.wav
disgust,Dataset/RAVDESS_Demo\Actor_01\03-01-07-01-01-02-01.wav
disgust,Dataset/RAVDESS_Demo\Actor_01\03-01-07-01-02-01-01.wav
disgust,Dataset/RAVDESS_Demo\Actor_01\03-01-07-01-02-02-01.wav
disgust,Dataset/RAVDESS_Demo\Actor_01\03-01-07-02-01-01-01.wav
disgust,Dataset/RAVDESS_Demo\Actor_01\03-01-07-02-01-02-01.wav
disgust,Dataset/RAVDESS_Demo\Actor_01\03-01-07-02-02-01-01.wav
disgust,Dataset/RAVDESS_Demo\Actor_01\03-01-07-02-02-02-01.wav
surprise,Dataset/RAVDESS_Demo\Actor_01\03-01-08-01-01-01-01.wav
surprise,Dataset/RAVDESS_Demo\Actor_01\03-01-08-01-01-02-01.wav
surprise,Dataset/RAVDESS_Demo\Actor_01\03-01-08-01-02-01-01.wav
surprise,Dataset/RAVDESS_Demo\Actor_01\03-01-08-01-02-02-01.wav
surprise,Dataset/RAVDESS_Demo\Actor_01\03-01-08-02-01-01-01.wav
surprise,Dataset/RAVDESS_Demo\Actor_01\03-01-08-02-01-02-01.wav
surprise,Dataset/RAVDESS_Demo\Actor_01\03-01-08-02-02-01-01.wav
surprise,Dataset/RAVDESS_Demo\Actor_01\03-01-08-02-02-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-01-01-01-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-01-01-01-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-01-01-02-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-01-01-02-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-02-01-01-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-02-01-01-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-02-01-02-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-02-01-02-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-02-02-01-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-02-02-01-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-02-02-02-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-02-02-02-02-02-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-02-03-01-01-01-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-02-03-01-01-02-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-02-03-01-02-01-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-02-03-01-02-02-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-02-03-02-01-01-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-02-03-02-01-02-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-02-03-02-02-01-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-02-03-02-02-02-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-02-04-01-01-01-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-02-04-01-01-02-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-02-04-01-02-01-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-02-04-01-02-02-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-02-04-02-01-01-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-02-04-02-01-02-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-02-04-02-02-01-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-02-04-02-02-02-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-02-05-01-01-01-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-02-05-01-01-02-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-02-05-01-02-01-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-02-05-01-02-02-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-02-05-02-01-01-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-02-05-02-01-02-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-02-05-02-02-01-01.wav
angry,Dataset/RAVDESS_Demo\Actor_01\03-02-05-02-02-02-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-02-06-01-01-01-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-02-06-01-01-02-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-02-06-01-02-01-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-02-06-01-02-02-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-02-06-02-01-01-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-02-06-02-01-02-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-02-06-02-02-01-01.wav
fear,Dataset/RAVDESS_Demo\Actor_01\03-02-06-02-02-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-01-01-01-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-01-01-01-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-01-01-02-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-01-01-02-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-02-01-01-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-02-01-01-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-02-01-02-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-02-01-02-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-02-02-01-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-02-02-01-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-02-02-02-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-01-02-02-02-02-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-01-03-01-01-01-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-01-03-01-01-02-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-01-03-01-02-01-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-01-03-01-02-02-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-01-03-02-01-01-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-01-03-02-01-02-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-01-03-02-02-01-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-01-03-02-02-02-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-01-04-01-01-01-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-01-04-01-01-02-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-01-04-01-02-01-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-01-04-01-02-02-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-01-04-02-01-01-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-01-04-02-01-02-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-01-04-02-02-01-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-01-04-02-02-02-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-01-05-01-01-01-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-01-05-01-01-02-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-01-05-01-02-01-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-01-05-01-02-02-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-01-05-02-01-01-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-01-05-02-01-02-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-01-05-02-02-01-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-01-05-02-02-02-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-01-06-01-01-01-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-01-06-01-01-02-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-01-06-01-02-01-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-01-06-01-02-02-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-01-06-02-01-01-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-01-06-02-01-02-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-01-06-02-02-01-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-01-06-02-02-02-02.wav
disgust,Dataset/RAVDESS_Demo\Actor_02\03-01-07-01-01-01-02.wav
disgust,Dataset/RAVDESS_Demo\Actor_02\03-01-07-01-01-02-02.wav
disgust,Dataset/RAVDESS_Demo\Actor_02\03-01-07-01-02-01-02.wav
disgust,Dataset/RAVDESS_Demo\Actor_02\03-01-07-01-02-02-02.wav
disgust,Dataset/RAVDESS_Demo\Actor_02\03-01-07-02-01-01-02.wav
disgust,Dataset/RAVDESS_Demo\Actor_02\03-01-07-02-01-02-02.wav
disgust,Dataset/RAVDESS_Demo\Actor_02\03-01-07-02-02-01-02.wav
disgust,Dataset/RAVDESS_Demo\Actor_02\03-01-07-02-02-02-02.wav
surprise,Dataset/RAVDESS_Demo\Actor_02\03-01-08-01-01-01-02.wav
surprise,Dataset/RAVDESS_Demo\Actor_02\03-01-08-01-01-02-02.wav
surprise,Dataset/RAVDESS_Demo\Actor_02\03-01-08-01-02-01-02.wav
surprise,Dataset/RAVDESS_Demo\Actor_02\03-01-08-01-02-02-02.wav
surprise,Dataset/RAVDESS_Demo\Actor_02\03-01-08-02-01-01-02.wav
surprise,Dataset/RAVDESS_Demo\Actor_02\03-01-08-02-01-02-02.wav
surprise,Dataset/RAVDESS_Demo\Actor_02\03-01-08-02-02-01-02.wav
surprise,Dataset/RAVDESS_Demo\Actor_02\03-01-08-02-02-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-01-01-01-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-01-01-01-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-01-01-02-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-01-01-02-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-02-01-01-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-02-01-01-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-02-01-02-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-02-01-02-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-02-02-01-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-02-02-01-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-02-02-02-01-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_02\03-02-02-02-02-02-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-02-03-01-01-01-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-02-03-01-01-02-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-02-03-01-02-01-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-02-03-01-02-02-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-02-03-02-01-01-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-02-03-02-01-02-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-02-03-02-02-01-02.wav
happy,Dataset/RAVDESS_Demo\Actor_02\03-02-03-02-02-02-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-02-04-01-01-01-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-02-04-01-01-02-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-02-04-01-02-01-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-02-04-01-02-02-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-02-04-02-01-01-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-02-04-02-01-02-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-02-04-02-02-01-02.wav
sad,Dataset/RAVDESS_Demo\Actor_02\03-02-04-02-02-02-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-02-05-01-01-01-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-02-05-01-01-02-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-02-05-01-02-01-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-02-05-01-02-02-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-02-05-02-01-01-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-02-05-02-01-02-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-02-05-02-02-01-02.wav
angry,Dataset/RAVDESS_Demo\Actor_02\03-02-05-02-02-02-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-02-06-01-01-01-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-02-06-01-01-02-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-02-06-01-02-01-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-02-06-01-02-02-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-02-06-02-01-01-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-02-06-02-01-02-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-02-06-02-02-01-02.wav
fear,Dataset/RAVDESS_Demo\Actor_02\03-02-06-02-02-02-02.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-01-01-01-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-01-01-01-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-01-01-02-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-01-01-02-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-02-01-01-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-02-01-01-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-02-01-02-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-02-01-02-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-02-02-01-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-02-02-01-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-02-02-02-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-01-02-02-02-02-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-01-03-01-01-01-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-01-03-01-01-02-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-01-03-01-02-01-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-01-03-01-02-02-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-01-03-02-01-01-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-01-03-02-01-02-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-01-03-02-02-01-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-01-03-02-02-02-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-01-04-01-01-01-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-01-04-01-01-02-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-01-04-01-02-01-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-01-04-01-02-02-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-01-04-02-01-01-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-01-04-02-01-02-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-01-04-02-02-01-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-01-04-02-02-02-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-01-05-01-01-01-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-01-05-01-01-02-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-01-05-01-02-01-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-01-05-01-02-02-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-01-05-02-01-01-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-01-05-02-01-02-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-01-05-02-02-01-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-01-05-02-02-02-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-01-06-01-01-01-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-01-06-01-01-02-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-01-06-01-02-01-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-01-06-01-02-02-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-01-06-02-01-01-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-01-06-02-01-02-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-01-06-02-02-01-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-01-06-02-02-02-03.wav
disgust,Dataset/RAVDESS_Demo\Actor_03\03-01-07-01-01-01-03.wav
disgust,Dataset/RAVDESS_Demo\Actor_03\03-01-07-01-01-02-03.wav
disgust,Dataset/RAVDESS_Demo\Actor_03\03-01-07-01-02-01-03.wav
disgust,Dataset/RAVDESS_Demo\Actor_03\03-01-07-01-02-02-03.wav
disgust,Dataset/RAVDESS_Demo\Actor_03\03-01-07-02-01-01-03.wav
disgust,Dataset/RAVDESS_Demo\Actor_03\03-01-07-02-01-02-03.wav
disgust,Dataset/RAVDESS_Demo\Actor_03\03-01-07-02-02-01-03.wav
disgust,Dataset/RAVDESS_Demo\Actor_03\03-01-07-02-02-02-03.wav
surprise,Dataset/RAVDESS_Demo\Actor_03\03-01-08-01-01-01-03.wav
surprise,Dataset/RAVDESS_Demo\Actor_03\03-01-08-01-01-02-03.wav
surprise,Dataset/RAVDESS_Demo\Actor_03\03-01-08-01-02-01-03.wav
surprise,Dataset/RAVDESS_Demo\Actor_03\03-01-08-01-02-02-03.wav
surprise,Dataset/RAVDESS_Demo\Actor_03\03-01-08-02-01-01-03.wav
surprise,Dataset/RAVDESS_Demo\Actor_03\03-01-08-02-01-02-03.wav
surprise,Dataset/RAVDESS_Demo\Actor_03\03-01-08-02-02-01-03.wav
surprise,Dataset/RAVDESS_Demo\Actor_03\03-01-08-02-02-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-01-01-01-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-01-01-01-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-01-01-02-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-01-01-02-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-02-01-01-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-02-01-01-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-02-01-02-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-02-01-02-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-02-02-01-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-02-02-01-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-02-02-02-01-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_03\03-02-02-02-02-02-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-02-03-01-01-01-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-02-03-01-01-02-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-02-03-01-02-01-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-02-03-01-02-02-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-02-03-02-01-01-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-02-03-02-01-02-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-02-03-02-02-01-03.wav
happy,Dataset/RAVDESS_Demo\Actor_03\03-02-03-02-02-02-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-02-04-01-01-01-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-02-04-01-01-02-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-02-04-01-02-01-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-02-04-01-02-02-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-02-04-02-01-01-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-02-04-02-01-02-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-02-04-02-02-01-03.wav
sad,Dataset/RAVDESS_Demo\Actor_03\03-02-04-02-02-02-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-02-05-01-01-01-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-02-05-01-01-02-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-02-05-01-02-01-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-02-05-01-02-02-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-02-05-02-01-01-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-02-05-02-01-02-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-02-05-02-02-01-03.wav
angry,Dataset/RAVDESS_Demo\Actor_03\03-02-05-02-02-02-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-02-06-01-01-01-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-02-06-01-01-02-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-02-06-01-02-01-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-02-06-01-02-02-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-02-06-02-01-01-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-02-06-02-01-02-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-02-06-02-02-01-03.wav
fear,Dataset/RAVDESS_Demo\Actor_03\03-02-06-02-02-02-03.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-01-01-01-01-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-01-01-01-02-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-01-01-02-01-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-01-01-02-02-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-02-01-01-01-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-02-01-01-02-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-02-01-02-01-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-02-01-02-02-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-02-02-01-01-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-02-02-01-02-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-02-02-02-01-04.wav
neutral,Dataset/RAVDESS_Demo\Actor_04\03-01-02-02-02-02-04.wav
happy,Dataset/RAVDESS_Demo\Actor_04\03-01-03-01-01-01-04.wav
happy,Dataset/RAVDESS_Demo\Actor_04\03-01-03-01-01-02-04.wav
happy,Dataset/RAVDESS_Demo\Actor_04\03-01-03-01-02-01-04.wav
happy,Dataset/RAVDESS_Demo\Actor_04\03-01-03-01-02-02-04.wav
happy,Dataset/RAVDESS_Demo\Actor_04\03-01-03-02-01-01-04.wav
